노래제목,가수,가사,요약,카테고리,
좋은 날,아이유,어쩜 이렇게 하늘은 더 파란 건지 오늘따라 왜 바람은 또 완벽한지 그냥 모르는 척 하나 못들은 척 지워버린 척 딴 얘길 시작할까 아무 말 못하게 입맞출까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 어떡해 새로 바뀐 내 머리가 별로였는지 입고 나왔던 옷이 실수였던 건지 아직 모르는 척 기억 안 나는 척 아무 일없던 것처럼 굴어볼까 그냥 나가자고 얘기할까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 어떡해 이런 나를 보고 그런 슬픈 말은 하지 말아요 철없는 건지 조금 둔한 건지 믿을 수가 없는걸요 눈물은 나오는데 활짝 웃어 네 앞을 막고서 막 크게 웃어 내가 왜 이러는지 부끄럼도 없는지 자존심은 곱게 접어 하늘위로 한 번도 못했던 말 어쩌면 다신 못할 바로 그 말 나는요 오빠가 좋은걸 아이쿠 하나 둘 I'm in my dream It's too beautiful beautiful day Make it a good day Just don't make me cry 이렇게 좋은 날,강렬한 사랑을 전하는 노래.,사랑,관계
고백하기 좋은 날,윤하,아침 햇살이 날 비추는 유난히 기분 좋은 날 물들은 내 얼굴도 오늘따라 더 예쁜 날 숨겨왔던 이 내 맘을 고백하긴 너무 좋은 날 설레이는 내 가슴 속 사랑을 속삭이는 날 나를 보고 웃었던 그 때부터였죠 두근대는 심장소리에 사랑을 알았죠 사랑한단 그 말보다 더 좋은 말은 없을까요 사랑이란 흔한 말로는 내 맘 전할 수 없는데 너무 많이 망설였지만 오늘은 꼭 말할래요 사랑한다고 고백하기에 너무도 좋은 날 저녁 노을이 날 비추는 유난히 기분 좋은 날 날 보는 그대 눈빛 오늘따라 더 멋진 날 떨려오는 이 내 맘을 고백하긴 너무 좋은 날 설레이는 내 가슴 속 사랑을 속삭이는 날 그대 손을 잡았던 그때부터였죠 짜릿했던 그대 손길에 사랑을 알았죠 사랑한단 그 말보다 더 좋은 말은 없을까요 사랑이란 흔한 말로는 내 맘 전할 수 없는데 너무 많이 망설였지만 오늘은 꼭 말할래요 사랑한다고 고백하기에 너무도 좋은 날 그대를 만난 후 부터 사랑이 뭔지 알것 같아요 눈속엔 그대만 입술엔 웃음만 가슴이 벅차는 이 느낌 그게 사랑인거 맞죠 사랑한단 그 말보다 더 좋은 말은 없을까요 사랑이란 흔한 말로는 내 맘 전할 수 없는데 너무 많이 망설였지만 오늘은 꼭 말할래요 사랑한다고 고백하기에 너무도 좋은 날 사랑한단 그 말보다 더 좋은 말은 없을까요 사랑이란 흔한 말로는 내 맘 전할 수 없는데 너무 많이 망설였지만 오늘은 꼭 말할래요 고백할께요 그대만을 영원히 사랑해,고백할 때의 심정을 표현한 노래.,사랑,관계
내 손을 잡아,아이유,"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아",용기 내어 누군가에게 손을 내밀고 더 나아가는 노래,사랑,관계
우주를 줄게,볼빨간사춘기,"커피를 너무 많이 마셨나 봐요
심장이 막 두근대고
잠은 잘 수가 없어요
한참 뒤에 별빛이 내리면
난 다시 잠들 순 없겠죠
지나간 새벽을 다 새면
다시 네 곁에 잠들겠죠
너의 품에 잠든 난 마치
천사가 된 것만 같아요
난 그대 품에
별빛을 쏟아 내리고
은하수를 만들어
어디든 날아가게 할거야
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
lighting star shooting star
줄게 내 Galaxy
Cause I’m a pilot anywhere
Cause I’m your pilot 네 곁에
저 별을 따 네게만
줄게 my Galaxy
Like a star 내리는 비처럼
반짝이는 널 가지고 싶어
Get ma mind
엄지와 검지만 해도
내 마음을 너무 잘 표현해
붙어 안달 나니까
마냥 떨리기만 한 게 아냐
준비가 되면 쏘아 올린
인공위성처럼
네 주윌 마구 맴돌려 해
더 가까워진다면
네가 가져줄래
이 떨림을
어제는 내가 기분이 참 좋아서
지나간 행성에다가
그대 이름 새겨 놓았죠
한참 뒤에 별빛이 내리면
그 별이 가장 밝게 빛나요
지나간 새벽을 다 새면
다시 네 곁에 잠들겠죠
별빛 아래 잠든 난 마치
온 우주를 가진 것만 같아
난 그대 품에
별빛을 쏟아 내리고
은하수를 만들어
어디든 날아가게 할거야
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
Lighting star Shooting star
줄게 내 Galaxy
Cause I’m a pilot anywhere
Cause I’m your pilot 네 곁에
저 별을 따 네게만
줄게 my Galaxy
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
Lighting star Shooting star
줄게 내 Galaxy
Cause I’m a pilot I’m your pilot
Lighting star Shooting star
줄게 my Galaxy
la la la la la la
la la la la la la",사랑과 희망으로 성장하며 누군가에게 모든 것을 주는 결심을 담은 노래,사랑,관계
사랑 앓이,FTISLAND (FT아일랜드),"그리울 때 눈감으면
더 잘보이는 그런사람
잊으려하고 지우려하면
더 많이 생각나는 사람

그 사람 꼭 올거라고
내 가슴에 해로운 거짓말을 하고
꼭 올거라는 말은 안했지만
기다릴 수 밖에 없는 사람

너무나 많이 사랑한 죄
널 너무나 많이 사랑한 죄
난 너로 인해 그 죄로인해
기다림을 앓고 있다고

내가 더 많이 사랑한 죄
널 너무나 많이 그리워한 죄
난 너로 인해 그 죄로인해
눈물로 앓고 있다고 이렇게

그 사람 꼭 올거라고
내 가슴에 해로운 거짓말을 하고
꼭 올거라는 말은 안했지만
기다릴 수 밖에 없는 사람

너무나 많이 사랑한 죄
널 너무나 많이 사랑한 죄
난 너로인해 그 죄로인해
기다림을 앓고 있다고

내가 더 많이 사랑한 죄
널 너무나 많이 그리워한 죄
난 너로인해 그 죄로인해
눈물로 앓고 있다고

헤어짐 늘 빠른 사랑
잊혀짐은 늘 더딘 사랑
늘 나에게만 늘 모진사랑
나 혼자 앓고 있었다고

그대 나를 이렇게
멀리 떠나가야만 했니
그대 나를 이렇게
멀리 떠나가야만 했니
그저 내 목숨 다바쳐 사랑할 사람
이젠 날 잊고 살아갈 무정한 사람
그저 내 전부 다 바쳐 사랑할 사람
이제 날 잊고 살아갈 너

내 목숨 다바쳐서 사랑할 사람
내게는 눈물만 주고 간 사람
늘 나에게만 늘 모진사랑
나 혼자 앓고 있었다고

내가 더 많이 사랑한 죄
널 너무나 많이 그리워 한죄
난 너로인해 그 죄로인해
눈물로 앓고 있다고 이렇게",사랑의 아픔과 그리움을 표현하는 감성적인 곡,사랑의 다양한 양상,관계
사랑합니다,팀 (Tim),"나빠요 참 그대라는 사람
허락도 없이 왜 내맘 가져요
그대 때문에 난 힘겹게 살고만 있는데
그댄 모르잖아요
알아요 나는 아니란 걸
눈길줄만큼 보잘것 없단걸
다만 가끔씩 그저 그미소
여기 내게도 나눠줄 순 없나요
비록 사랑은 아니라도
언젠가 한번쯤은 돌아봐주겠죠
한없이 뒤에서 기다리면
오늘도 차마 못한 가슴속 한마디
그대 사랑합니다
어제도 책상에 엎드려
그댈 그리다 잠들었나봐요
눈을 떠보니 눈물에 녹아 흩어져있던
시린 그대이름과 헛된 바램뿐인 낙서만
언젠가 한번쯤은 돌아봐주겠죠
한없이 뒤에서 기다리면
오늘도 차마 못한 가슴속 한마디
그대 사랑합니다
이젠 너무나도 내게 익숙한
그대 뒷모습을 바라보며
흐르는 눈물처럼 소리없는 그말
그대 사랑합니다",진실한 사랑의 고백을 담은 노래,사랑의 다양한 양상,관계
첫눈처럼 너에게 가겠다,에일리,"널 품기 전 알지 못했다
내 머문 세상 이토록
찬란한 것을
작은 숨결로 닿은 사람
겁 없이 나를 불러준 사랑
몹시도 좋았다
너를 지켜보고 설레고
우습게 질투도 했던
평범한 모든 순간들이
캄캄한 영원
그 오랜 기다림 속으로
햇살처럼 니가 내렸다
널 놓기 전 알지 못했다
내 머문 세상 이토록
쓸쓸한 것을
고운 꽃이 피고 진 이 곳
다시는 없을 너라는 계절
욕심이 생겼다
너와 함께 살고 늙어가
주름진 손을 맞잡고
내 삶은 따뜻했었다고
단 한번 축복
그 짧은 마주침이 지나
빗물처럼 너는 울었다
한번쯤은 행복하고
싶었던 바람
너까지 울게 만들었을까
모두, 잊고 살아가라
내가 널, 찾을 테니
니 숨결, 다시 나를 부를 때
잊지 않겠다
너를 지켜보고 설레고
우습게 질투도 했던
니가 준 모든 순간들을
언젠가 만날
우리 가장 행복할 그날
첫눈처럼 내가 가겠다
너에게 내가 가겠다",첫사랑의 설렘과 기대를 표현한 곡,사랑의 다양한 양상,관계
사랑을 했다,아이콘,"사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마, 괜찮은 결말
그거면 됐다, 널 사랑했다
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
에이, 괜찮지만은 않아 이별을 마주한다는 건
오늘이었던 우리의 어제에 더는 내일이 없다는 건
아프긴 해도 더 끌었음 상처가 덧나니까, 예, 에, 에
널 사랑했고 사랑 받았으니 난 이걸로 됐어, 예, 에, 에
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마, 괜찮은 결말
그거면 됐다, 널 사랑했다
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
갈비뼈 사이사이가 찌릿찌릿한 느낌
나 사랑받고 있음을 알게 해주는 눈빛
너에게 참 많이도 배웠다 반쪽을 채웠다
과거로 두기엔 너무 소중한 사람이었다
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마, 괜찮은 결말
그거면 됐다, 널 사랑했다
네가 벌써 그립지만
그리워하지 않으려 해
한 편의 영화 따스했던
봄으로 너를 기억할게
우리가 만든 love scenario
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
우린 아파도 해봤고
우습게 질투도 했어
미친 듯이 사랑했고
우리 이 정도면 됐어
사랑을 했다 우리가 만나
그거면 됐다, 널 사랑했다",사랑과 이별의 감정을 담은 노래,사랑의 다양한 양상,관계
좋니,윤종신,"이제 괜찮니 너무 힘들었잖아
우리 그 마무리가 고작 이별뿐인 건데
우린 참 어려웠어
잘 지낸다고 전해 들었어 가끔
벌써 참 좋은 사람
만나 잘 지내고 있어
굳이 내게 전하더라
잘했어 넌 못 참았을 거야
그 허전함을 견뎌 내기엔
좋으니 사랑해서
사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람
솔직히 견디기 버거워
네가 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일만이라도
아프다 행복해줘
억울한가 봐 나만 힘든 것 같아
나만 무너진 건가
고작 사랑 한번 따위
나만 유난 떠는 건지
복잡해 분명 행복 바랬어
이렇게 빨리 보고 싶을 줄
좋으니 사랑해서
사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람
솔직히 견디기 버거워
너도 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일만이라도
아프다 행복해줘
혹시 잠시라도 내가 떠오르면
걘 잘 지내 물어 봐줘
잘 지내라고 답할 걸 모두 다
내가 잘 사는 줄 다 아니까
그 알량한 자존심 때문에
너무 잘 사는 척 후련한 척 살아가
좋아 정말 좋으니
딱 잊기 좋은 추억 정도니
난 딱 알맞게 사랑하지 못한
뒤끝 있는 너의 예전 남자친구일 뿐
스쳤던 그저 그런 사랑 오오, 우우",이별 후 전 연인에 대한 그리움을 표현,사랑의 다양한 양상,관계
사랑.. 그 놈,바비 킴,"늘 혼자 사랑하고 혼자 이별하고
늘 혼자 추억하고 혼자 무너지고
사랑이란 놈 그 놈 앞에서
언제나 난 늘 빈털털일뿐
늘 혼자 외면하고 혼자 후회하고
늘 휘청거리면서 아닌 척을 하고
사랑이란 놈 그 놈 앞에서
언제나 난 늘 웃음거릴뿐
사랑해 널 사랑해
불러도 대답 없는 멜로디
가슴이 멍들고 맘에 눈은 멀어도
다시 또 발길은 그 자리로
사랑해 또 사랑해
제 멋대로 왔다가
자기 맘대로 떠나간다
왔을때 처럼 아무말도 없이 떠나간다
늘 기억땜에 살고 추억에 울어도
늘 너를 잊었다고 거짓말을 해도
숨을 삼키듯 맘을 삼키고
그저 웃으며 손을 흔든다
사랑해 널 사랑해
목이 메여 불러도
너는 듣지 못할 그 한마디
고개 떨구며 사랑 앞에 난 또 서있다
사랑해 널 사랑해
제 멋대로 왔다가
자기 마음대로 떠나가고
왔을때 처럼 아무말도 없이 떠나가도
모른척 해도 날 잊는대도
사랑은 다시 또 온다
그래 아직 내 가슴은 믿는다
사랑 사랑은 다시 또 온다",사랑의 복잡한 감정을 서술한 곡,사랑의 다양한 양상,관계
첫사랑,버즈,"이런 내마음을 알고 있나요
어떻게 내맘 고백할까

난 두려웠었죠 혹시나 그대 맘 멀어질까봐
저기 멀리서 그대가 오네요

벌써 내맘은 그대곁에 늘 함께 했지만
단 한번도 내 맘 표현한적 없네요

하고 싶은말은 너무 많은데 너무흔한 그런얘기들
나~부족하지만 영원토록 그대 만을 지켜 줄께요
그대를 보내준 하늘에 감사해
그대는 내 삶의 가장 큰 선물
다시 또 태어나 사랑을 한다면 오직 그대뿐~

간주~~~~~~~~~~~

하고 싶은말은 너무 많은데 너무흔한 그런얘기들
나~부족하지만 영원토록 그대 만을 지켜 줄께요
그대를 보내준 하늘에 감사해
그대는 내 삶의 가장 큰 선물
다시 또 태어나 사랑을 한다면 그대 만을 사랑해

그리고 영원히 행복해
더이상 두려워하지 말아요
모든 것이 변해 버려도 내 맘은 언제나
그대뿐이죠
사랑은 오직 그대뿐~

가수가 버즈로 나오든데 아닌가벼~-ㅁ-",순수한 첫사랑의 감정을 노래,사랑의 다양한 양상,관계
사랑했지만,김광석,"어제는 하루종일 비가 내렸어
자욱하게 내려앉은 먼지 사이로
귓가에 은은하게 울려 퍼지는
그대 음성 빗속으로 사라져버려
때론 눈물도 흐르겠지 그리움으로
때론 가슴도 저리겠지 외로움으로
사랑했지만
그대를 사랑했지만
그저 이렇게 멀리서 바라볼 뿐 다가 설 수 없어
지친 그대곁에 머물고 싶지만 떠날 수 밖에
그대를 사랑했지만
때론 눈물도 흐르겠지 그리움으로
때론 가슴도 저리겠지 외로움으로
사랑했지만
그대를 사랑했지만
그저 이렇게 멀리서 바라볼 뿐 다가 설 수 없어
지친 그대곁에 머물고 싶지만 떠날 수 밖에
그대를 사랑했지만
그대를 사랑했지만",사랑했지만 이별해야 했던 감정을 서술,사랑의 다양한 양상,관계
그대와 영원히,김민종,"헝클어진 머릿결 이젠 빗어봐도 말을 듣지 않고
초점없는 눈동자 이젠 보려해도 볼 수가 없지만
감은 두눈 나만을 바라보며 마음과 마음을 열고
따스한 손길 쓸쓸한 내 어깨위에 포근한 안식을 주네
저 붉은 바다 해끝까지 그대와 함께 가리
이 세상이 변한다해도 나의 사랑 그대와 영원히

무뎌진 내 머리에 이제 어느하나 느껴지질 않고
메마른 내 입술엔 이젠 아무말도 할 수가 없지만
맑은 음성 가만히 귀기울여 행복의 소리를 듣고
고운 미소 쇠잔한 내 가슴속에 영원토록 남으리
저 붉은 바다 해끝까지 그대와 함께 가리
이 세상이 변한다해도 나의 사랑 그대와 영원히",영원한 사랑을 꿈꾸며 헌신하는 마음을 노래,사랑의 다양한 양상,관계
얼마나 아파야 잊을까요,알리,"나보다 사랑한 너를
억지로 꺼낼 수 없어
계절이 변해가듯이 그래
잠잠히 잊혀 지기를
참 많이 쌓인 우리의 날들이
왜 나를 붙잡아
얼마나 아파야 잊을까요 지울까요 oh
얼마나 울어야 우리 처음 만났던 그날까지
잊을까요
마지막 인 것 같아서
전부를 줘버린 사랑
남은 게 하나도 없어 나는
심장을 꺼내 준 사랑
참 많이 쌓인 우리의 날들이
왜 나를 붙잡아
얼마나 아파야 잊을까요 지울까요 oh
얼마나 울어야 우리 처음 만났던 그날까지
잊을까요
두번 다시 사랑을 못할 것 같아
I know I know
잊지 못할 것 같아 너를 너를
잊지못해 잊지못해 oh
얼마나 울어야 우리 처음 만났던 마음으로
돌아올까",이별 후의 슬픔과 잊으려는 마음을 담은 노래,사랑의 다양한 양상,관계
사랑해 그리고 기억해,GOD,"Uh 사랑하는 사람을 보내야만 했던
모든 사람들에게 바칩니다
돌아보면 너무나 아름다웠어
내 인생에 다시 못 올 순간들이었어
너를 보면 보고 있으면
아무 이유 없이
눈물이 흐르곤 했어
행복했어
영원히 잊지 못할 만큼
사랑했어
너를 보낼 수 없을 만큼
하지만 그만큼이 내 몫이 아니기에
내 것이 아님을 알기에
행복 해 이젠 널 보낼게
너의 그 사람에 게
널 위해 흘릴 눈물만큼
넌 꼭 행복해 야 해
사랑해 그리고 기억해
떠난 게 후회될 때
언제라도 나의 품에
돌아와도 돼
보내야 해 보내야 해
여기서 만족해야 해
몇 번이고 다짐을 해봐도
수 없이 계속 내 자신을 타일러봐도
왼쪽 가슴 한 구석이 너무 아파와
계속 눈에선 눈물이 흘러 내려와
지나간 추억들 자꾸 돌아와
도대체 왜 이럴까
Why why
행복 해 이젠 널 보낼게
너의 그 사람에 게
널 위해 흘릴 눈물만큼
넌 꼭 행복해 야 해
사랑해 그리고 기억해
떠난 게 후회될 때
언제라도 나의 품에
돌아와도 돼
돌아보면 너무나 아름다웠어
내 인생에 다시 못 올 순간들이었어
너를 보면 보고 있으면
아무 이유 없이 눈물이 흐르곤 했어
행복했어 영원히 잊지 못할 만큼
사랑했어 너를 보낼 수 없을 만큼
하지만 그만큼이 내 몫이 아니기에
내 것이 아님을 알기에
행복해 이젠 널 보낼게
너의 그 사람에게
널 위해 흘릴 눈물만큼
넌 꼭 행복해야 해
사랑해 그리고 기억해
떠난 게 후회될 때
언제라도 나의 품에
돌아와도 돼",장기적인 사랑과 그 속에서의 추억을 노래,사랑의 다양한 양상,관계
이 소설의 끝을 다시 써보려 해,한동근,"시계가 반대로 돌아가고 있어
TV속 영화가 되감아지고 있어
내렸던 빗물이 올라가고 있어
잊었던 기억이 돌아오고 있어
도로 위에 차들이 반대로 달리고
온 세상의 모든 게 다 거꾸로 움직여
지금 나는 계속 반대로 뒷걸음질치며
그 날의 너에게 돌아가고 있어
운명같은 만남 너무 아픈 결말
난 이 소설의 끝을 다시 써보려 해
내 한 권의 사랑 마지막 장면엔
네가 있어야 해 그래야 말이 되니까
한 장씩 한 장씩 뒤로 넘겨 지며
아팠던 일기가 지워지고 있어
가루낸 사진이 모여들고 있어
버렸던 미련이 돌아오고 있어
삼켰던 내 눈물이 다시 뱉어지고
뱉었던 그 모진 말은 다시 삼켜지고
지금 나는 계속 반대로 뒷걸음질치며
그 날의 너에게 돌아가고 있어
운명 같은 만남 너무 아픈 결말
난 이 소설의 끝을 다시 써보려 해
내 한 권의 사랑 마지막 장면엔
네가 있어야 해 그래야 말이 돼
여기야 우리가 이별한 그 슬픈 페이지
내 앞에서 네가 서서 울고 있어
너에게 묻고 싶어 너만 괜찮다면
난 이 소설의 끝을 다시 써보려 해 오 오
내 한 권의 사랑 마지막 장면엔
네가 있어야 해 그래야 말이 되니까",실패한 사랑을 되돌리고자 하는 간절한 바람을 표현,사랑의 다양한 양상,관계
어제처럼,폴킴,"Trust the warmth inside
Can you feel my love alive?
어제처럼
오늘도 아무 일 없는 듯이
그리고
Please don't tell me why
이렇게 돌아서지만
나를 떠나가는 이유를 난 묻진 않을게요
내게 이런 말 하기가 쉽진 않았을 거야
생각해 봤어 얼마나 어려웠을지
다만 슬픈 내 눈물에 돌아설 수 없어
멈출 사랑으로 안을까 봐
난 너무나 두려울 뿐이죠
So baby, Trust the warmth inside
Can you feel my love alive?
어제처럼
오늘도 아무 일 없는 듯이
그리고
Please don't tell me why
이렇게 돌아서지만
나를 떠나가는 이유를 난 묻진 않을게요
네겐 너무나 부족한 나를 알고 있기에
다짐해 왔어, 언젠가 이별이 오면
그땐 떠난 네 마음이 미안하지 않게
좋은 추억으로 간직하게
널 웃으며 보내준다고 whoa, umm
Faith is all we need
It was love that set us free
처음처럼
이별은 아무런 얘기 없이
하지만
Love forever lives
다시는 볼 수 없어도
나의 가슴속엔 언제나
그대 영원하겠죠
언젠가 내 모습 또다시
처음처럼 그립다면
그냥 돌아오면 돼
Don't you know I love you? Whoa
Faith is all we need
It was love that set us free
처음처럼 hm-um
이별은 아무런 얘기 없이
하지만
Love forever lives
다시는 볼 수 없어도 oh-yeah
나의 가슴속엔 언제나
그대 영원하겠죠 hah-huh, huh
hah
(So I love you)
Faith in our destiny
Destiny",지난 사랑을 그리워하며 추억하는 감성적인 곡,사랑의 다양한 양상,관계
사랑에 빠지고 싶다,김조한,"﻿운동을 하고 열심히 일하고
주말엔 영화도 챙겨보곤 해
서점에 들러 책 속에 빠져서
낯선 세상에 가슴 설레지
이런 인생 정말 괜찮아 보여
난 너무 잘 살고 있어 헌데 왜
너무 외롭다 나 눈물이 난다
내 인생은 이토록 화려한데
고독이 온다 넌 나에게 묻는다
너는 이 순간 진짜 행복하니
내겐 나를 너무 사랑해주는
그런 사람이 있어 헌데 왜
너무 외롭다 나 눈물이 난다
내 인생은 이토록 화려한데
고독이 온다 넌 나에게 묻는다
너는 이 순간 진짜 행복하니
난 대답한다 난 너무 외롭다
내가 존재하는 이유는 뭘까
사랑이 뭘까 난 그게 참 궁금해
사랑하면서 난 또 외롭다
사는 게 뭘까 왜 이렇게 외롭니
또다시 사랑에 아프고 싶다",사랑에 빠지고 싶은 간절한 마음을 노래,사랑의 다양한 양상,관계
그대와 함께,더 블루(The Blue),"그대여 나의 눈을 봐요
그대의 눈빛 속에 내가 들어갈 수 있도록
이제는 솔직하게 얘길 해봐요

더 이상 숨기지 말고
그대여 두 눈을 감아요
눈을 뜨지 않아도 마음으로 볼 수가 있어
언제나 그대 숨결 느낄 수 있도록
내 곁에 있어요 지금 이대로

지난 오랜 시간동안
한 번도 말은 안했지만
그댈 위한 내 마음은 그대로인걸

처음 만난 순간부터
나의 마지막 그 날까지
그대만이 나의 마음속에 언제까지나

지난 오랜 시간동안
한번도 말은 안했지만
그댈 위한 내 마음은 그대로인걸

처음 만난 순간부터
나의 마지막 그날까지
그대만이 나의 마음 속에 언제까지나

Oh Oh 언제까지나",오랜 사랑을 지속하며 느끼는 감정을 묘사,사랑의 다양한 양상,관계
그대를 사랑하는 10가지 이유,이석훈,"그대 예쁜 목소리로 자장가를 불러줘요
오늘 밤도 그대 내 꿈속에 나와 함께 살아요
아이 같은 그 미소로 나를 보며 웃어주네요
나는 그대라서 참 행복합니다
내가 힘들 때나 많이 아플 때
내 눈물을 고이 닦아주던
그대란 사람 어찌 말을 해야 할까요
첫 번째 그대의 마음 나무처럼 나를 쉬게 해
두 번째 그대의 미소 햇살처럼 나를 밝게 비추고
세 번째 그대의 손길 내가 힘들 때마다 품에 안아준
그댈 사랑합니다
내가 슬플 때나 외로워 할 때
내 곁을 따스히 지켜주던
그대란 사람 어찌 말을 해야 할까요
네 번째 그대의 온도 내 가슴을 따스하게 해
다섯째 그대의 눈물 더 열심히 나를 살아가게 해
여섯째 그대의 기도 쳐진 어깨를 피게 만들어 주는
그댈 사랑합니다
그대여 더 이상 눈물은 이젠 흘리지 말아요
영원토록 그대를 지킬게요
사랑하는 그댈 보면 바라만 봐도 난 행복해
일곱 번째 그대 표정 시무룩한 나를 웃게 해
여덟째 그대 목소리 내게 힘을 주는 그대이니까
아홉 번째 그대 걸음 못난 날 매일마다 찾아와 주네
열 번짼 그대란 선물 그대라서 난 정말 행복합니다",사랑하는 사람에 대한 다양한 사랑의 이유를 노래,사랑의 다양한 양상,관계
사랑의 배터리,홍진영,"나를 사랑으로 채워줘요
사랑의 배터리가 다 됐나 봐요
당신 없인 못 살아 정말 나는 못 살아
당신은 나의 배터리
얼짱이 아니라도 좋아요 (좋아요)
몸짱이 아니라도 좋아요 (좋아요)
나만을 위해줄 당신이 바로
내겐 짱이랍니다
한 번 더 나를 안아주세요 (주세요)
가슴이 터지도록 안아주세요
사랑의 약발이 떨어졌나 봐
당신이 필요해요
나를 사랑으로 채워줘요
사랑의 배터리가 다 됐나 봐요
당신 없인 못 살아 정말 나는 못 살아
당신은 나의 배터리
내겐 당신만이 전부예요
당신이 너무 좋아 완전 좋아요
하나뿐인 내 사랑 둘도 없는 내 사랑
당신이 짱이랍니다
사랑을 가득 넣어 주세요
가슴이 넘치도록 넣어주세요
사랑의 약발이 떨어졌나 봐
당신이 필요해요
나를 사랑으로 채워줘요
사랑의 배터리가 다 됐나 봐요
당신 없인 못 살아 정말 나는 못 살아
당신은 나의 배터리
내겐 당신만이 전부예요
당신이 너무 좋아 완전 좋아요
하나뿐인 내 사랑 둘도 없는 내 사랑
당신이 짱이랍니다
아무리 힘든 날에도
당신만 있다면
힘들지 않아 나는 슬프지 않아
당신 곁이라면, oh
당신만 보고 싶어 당신이 내 배터리
사랑의 배터리가 다 됐나 봐 나의 사랑
사랑이 필요할 땐 (홍진영이 필요해)
당신이 내 배터리 사랑의 배터리
내겐 당신만이 전부예요
당신이 너무 좋아 완전 좋아요
하나뿐인 내 사랑 둘도 없는 내 사랑
홍진영 짱이랍니다
내겐 당신만이 전부예요
당신이 너무 좋아 완전 좋아요
하나뿐인 내 사랑 둘도 없는 내 사랑
당신이 짱이랍니다
당신이 짱이랍니다
짱이랍니다
사랑의 배터리",끊임없이 충전되는 사랑의 에너지를 노래,사랑의 다양한 양상,관계
